title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
House for sale,46 Summerhill Gdns,Toronto,ON,M4T1B4,43.684658,-79.386675,"C$3,989,000",61,"9 bds, 4.0 ba ,None sqft",Core Assets Real Estate,https://www.zillow.com/homedetails/46-Summerhill-Gdns-Toronto-ON-M4T-1B4/2084147104_zpid/
Condo for sale,6 Jackes Ave #LPH01,Toronto,ON,M4T0A5,43.685329,-79.392525,"C$3,950,000",44,"2 bds, 3.0 ba ,None sqft",Slavens,https://www.zillow.com/homedetails/6-Jackes-Ave-LPH01-Toronto-ON-M4T-0A5/2077354848_zpid/
Condo for sale,The Clair Residences,Toronto,ON,M4T1Y7,43.688667,-79.39328,"C$400,000",465,"0 bds, None ba ,None sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/The-Clair-Residences-Toronto-ON-M4T-1Y7/2082894689_zpid/
Condo for sale,1177 Yonge St #615,Toronto,ON,M4T2Y4,43.682619,-79.391523,"C$1,620,000",16,"2 bds, 2.0 ba ,None sqft",HomeLife/Cimerman Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/1177-Yonge-St-615-Toronto-ON-M4T-2Y4/2077059900_zpid/
Condo for sale,6 Jackes Ave #708,Toronto,ON,M4T0A5,43.685329,-79.392525,"C$1,899,900",42,"2 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/6-Jackes-Ave-708-Toronto-ON-M4T-0A5/2077324709_zpid/
Condo for sale,The Clair Residences,Tor,ON,M4T1Y7,43.6875,-79.393456,"C$650,000",472,"0 bds, None ba ,2572 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/The-Clair-Residences-Tor-ON-M4T-1Y7/2082980731_zpid/
