title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,319 Wellesley St E,Toronto,ON,M4X1H2,43.668131,-79.368522,"C$1,229,000",41,"2 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/319-Wellesley-St-E-Toronto-ON-M4X-1H2/2077315805_zpid/
Condo for sale,225 Wellesley St E #506,Toronto,ON,M4X1X8,43.667324,-79.372738,"C$565,000",35,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/225-Wellesley-St-E-506-Toronto-ON-M4X-1X8/2077247513_zpid/
Condo for sale,500 Sherbourne St #1512,Toronto,ON,M4X1L1,43.667984,-79.375576,"C$665,000",75,"2 bds, 1.0 ba ,None sqft",HomeLife Superstars Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/500-Sherbourne-St-1512-Toronto-ON-M4X-1L1/2077708366_zpid/
Condo for sale,500 Sherbourne St UNIT 306,Toronto,ON,M4X1L1,43.667984,-79.375576,"C$598,000",252,"2 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/500-Sherbourne-St-UNIT-306-Toronto-ON-M4X-1L1/2086803086_zpid/
Condo for sale,500 Sherbourne St UNIT 2001,Toronto,ON,M4X1L1,43.667984,-79.375576,"C$559,800",42,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/500-Sherbourne-St-UNIT-2001-Toronto-ON-M4X-1L1/2082861468_zpid/
Condo for sale,500 Sherbourne St #1301,Toronto,ON,M4X1L1,43.667984,-79.375576,"C$579,900",88,"1 bds, 1.0 ba ,None sqft",Re/Max Gold Realty Inc.,https://www.zillow.com/homedetails/500-Sherbourne-St-1301-Toronto-ON-M4X-1L1/2077872359_zpid/
