title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
House for sale,64 Hocken Ave,Toronto,ON,M6G2K2,43.681235,-79.421638,"C$799,999",33,"3 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/64-Hocken-Ave-Toronto-ON-M6G-2K2/2077226713_zpid/
House for sale,698 Manning Ave,Toronto,ON,M6G2W4,43.665265,-79.416689,"C$1,449,000",13,"3 bds, 3.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/698-Manning-Ave-Toronto-ON-M6G-2W4/2079311733_zpid/
House for sale,452 Montrose Ave,Toronto,ON,M6G3H1,43.66176,-79.420632,"C$2,990,000",27,"6 bds, 6.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/452-Montrose-Ave-Toronto-ON-M6G-3H1/2077166043_zpid/
Townhouse for sale,295 Clinton St,Toronto,ON,M6G2Y7,43.661721,-79.416125,"C$1,530,000",56,"6 bds, 3.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/295-Clinton-St-Toronto-ON-M6G-2Y7/2077483463_zpid/
House for sale,870 Shaw St,Toronto,ON,M6G3M2,43.665868,-79.424921,"C$2,890,000",43,"4 bds, 5.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/870-Shaw-St-Toronto-ON-M6G-3M2/2077346764_zpid/
House for sale,775 Ossington Ave,Toronto,ON,M6G3T8,43.663257,-79.425964,"C$2,750,000",107,"6 bds, 7.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/775-Ossington-Ave-Toronto-ON-M6G-3T8/2078115256_zpid/
House for sale,54 Benson Ave,Toronto,ON,M6G2H6,43.680388,-79.424454,"C$1,650,000",142,"5 bds, 3.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/54-Benson-Ave-Toronto-ON-M6G-2H6/2084688239_zpid/
Condo for sale,473 Dupont St #3,Toronto,ON,M6G1Y6,43.672714,-79.414925,"C$1,090,000",20,"2 bds, 3.0 ba ,None sqft",Harbour Kevin Lin Homes,https://www.zillow.com/homedetails/473-Dupont-St-3-Toronto-ON-M6G-1Y6/2077094291_zpid/
