title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Toronto,ON,M3K1N7,"C$78,000","0 bds, None ba ,None sqft",Demo Homelife,https://www.zillow.com/homedetails/3600-A-Dufferin-St-1-Toronto-ON-M3K-1N7/2077432802_zpid/
House for sale,,Toronto,ON,M3K1A4,"C$989,000","3 bds, 1.0 ba ,None sqft",HomeLife/ROMANO Realty Ltd,https://www.zillow.com/homedetails/27-Westdale-Dr-Toronto-ON-M3K-1A4/2076916932_zpid/
Townhouse for sale,,Toronto,ON,M3K0B1,"C$819,000","3 bds, 3.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/34-Caroline-Carpenter-Grv-Toronto-ON-M3K-0B1/2077194877_zpid/
House for sale,,Toronto,ON,M3K1A1,"C$1,199,000","3 bds, 2.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/87-Whitley-Ave-Toronto-ON-M3K-1A1/2077492655_zpid/
Townhouse for sale,,Toronto,ON,M3K0A4,"C$539,900","1 bds, 1.0 ba ,None sqft",Century 21 People`S Choice Realty Inc.,https://www.zillow.com/homedetails/60-Winston-Park-Blvd-65-Toronto-ON-M3K-0A4/2078663887_zpid/
House for sale,,Toronto,ON,M3K1T8,"C$1,850,000","4 bds, 5.0 ba ,None sqft",CENTURY 21 Percy Fulton Ltd Brokerage,https://www.zillow.com/homedetails/274-Cornelius-Pkwy-Toronto-ON-M3K-1T8/2077148442_zpid/
