title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,Toronto,ON,M5A0K9,"C$700,000","2 bds, 2.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/158-Front-St-E-210-Toronto-ON-M5A-0K9/2077562303_zpid/
Condo for sale,,Toronto,ON,M5A2M5,"C$569,900","2 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/112-George-St-S306-Toronto-ON-M5A-2M5/2078507929_zpid/
Condo for sale,,Toronto,ON,M5A0C2,"C$529,000","1 bds, 1.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/55-Regent-Park-Blvd-913-Toronto-ON-M5A-0C2/2077591644_zpid/
Condo for sale,,Toronto,ON,M5A4P7,"C$569,900","1 bds, 1.0 ba ,None sqft",HomeLife/Bayview Realty Inc Brokerage,https://www.zillow.com/homedetails/109-Front-St-E-UNIT-512-Toronto-ON-M5A-4P7/2077190877_zpid/
Condo for sale,,Toronto,ON,M5A0B9,"C$549,900","1 bds, 1.0 ba ,None sqft",HomeLife/Miracle Realty Ltd Brokerage,https://www.zillow.com/homedetails/225-Sackville-St-612-Toronto-ON-M5A-0B9/2077698427_zpid/
Condo for sale,,Toronto,ON,M5A0M8,"C$519,000","1 bds, 1.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/20-Tubman-Ave-310-Toronto-ON-M5A-0M8/2083193325_zpid/
Condo for sale,,Toronto,ON,M5A2M5,"C$609,900","1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/112-George-St-731-Toronto-ON-M5A-2M5/2078073028_zpid/
Condo for sale,,Toronto,ON,M5A4P7,"C$610,000","2 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/109-Front-St-E-623-Toronto-ON-M5A-4P7/2077823905_zpid/
Condo for sale,,Toronto,ON,M5A0M4,"C$478,000","1 bds, 1.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/170-Bayview-Ave-911-Toronto-ON-M5A-0M4/2082800384_zpid/
Condo for sale,,Toronto,ON,M5A4T3,"C$669,000","1 bds, 2.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/80-Mill-St-PENTHOUSE-1-Toronto-ON-M5A-4T3/2077454269_zpid/
Condo for sale,,Toronto,ON,M5A0C3,"C$569,000","1 bds, 1.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/170-Sumach-St-UNIT-501-Toronto-ON-M5A-0C3/2084069446_zpid/
Condo for sale,,Toronto,ON,M5A0G8,"C$598,000","1 bds, 1.0 ba ,None sqft",Kingsway Real Estate,https://www.zillow.com/homedetails/20-Bruyers-Mews-E-2106-Toronto-ON-M5A-0G8/2077092534_zpid/
Condo for sale,,Toronto,ON,M5A0C9,"C$652,000","1 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/16-Bonnycastle-St-2011-Toronto-ON-M5A-0C9/2084298759_zpid/
Condo for sale,,Toronto,ON,M5A0C2,"C$612,500","1 bds, 1.0 ba ,None sqft",World Class Realty Point,https://www.zillow.com/homedetails/55-Regent-Park-Blvd-2904-Toronto-ON-M5A-0C2/2077241891_zpid/
